核子反應器設施名稱,領有高級運轉員執照人數,,領有運轉員執照人數,
,男性,女性,男性,女性
核一廠,25,0,19,0
核二廠,26,0,26,0
核三廠,29,0,25,1
龍門電廠,19,0,17,0
清華大學,9,1,0,0
總計,108,1,87,1
