審查機關,產品類別,廣告品名,申請廠商,廣告核准字號,核准起始日期,核准結束日期,廣告類別
"衛福部","化粧品","1. 杏仁酸精華液5%、2.杏仁酸精華液18%、3.頂級全效修護蝸牛面膜、4.頂級深效賦活蝸牛精華、5.頂級修護蝸牛霜、6.花晶靈金盞花璀璨花瓣膜、7.雪晶靈水嫩白肌凍膜、8.黑晶靈逆轉白嫩凍膜、9.水晶靈深海礦物泥膜、10.絲光瑩亮極緻髮膜","成享化粧品工廠","衛部粧廣字10509022","1050907","1060924","網路;;平面媒體(海報、傳單、報紙、刊物、雜誌、廣告牌、車體、車廂等)"
"衛福部","化粧品","1.粉刺終結拔除膜、2.毛孔收斂水、3.粉刺軟化水、4.櫻桃C美白面膜、5.玻尿酸保水面膜、6.珍珠精緻面膜、7.美白調理凍膜、8.美白C身體乳液、9. 涵氧淨色角質乳、10.Honey Bee蜂蜜蘆薈護手霜","成享化粧品工廠","衛部粧廣字10509026","1050908","1060912","網路;;平面媒體(海報、傳單、報紙、刊物、雜誌、廣告牌、車體、車廂等)"
"衛福部","化粧品","1.AD能量乳系列–茶樹控油細緻毛孔乳液、2.AD能量乳系列–鮮奶乳蠟黃亮白乳液、3.AD能量乳系列–深層海水能量保濕乳液、4.AD能量乳系列–名媛晶燦淨白乳液、5.AD能量乳系列–極緻駐顏撫紋乳液、6. 名媛晶燦淨白水凝霜、7.深層海水能量保濕乳霜","里佳美妝品企業社","衛部粧廣字10509023","1050907","1060923","網路;;平面媒體(海報、傳單、報紙、刊物、雜誌、廣告牌、車體、車廂等)"
"衛福部","化粧品","1.深層調理角質拋光凝露、2.深層海水能量保濕護手霜、3.名媛晶燦淨白護手霜、4.洛神花彈性緊緻護手霜、5.茶樹抗菌護手霜、6.茶樹控油細緻毛孔潔膚乳、7.鮮奶乳蠟黃亮白潔膚乳、8.深層海水能量保濕潔膚乳、9.名媛細緻淨白潔膚乳、10.極緻駐顏撫紋潔膚乳","里佳美妝品企業社","衛部粧廣字10509020","1050907","1060923","網路;;平面媒體(海報、傳單、報紙、刊物、雜誌、廣告牌、車體、車廂等)"
"衛福部","化粧品","1.舒緩緊緻眼凝霜、2.極緻駐顏撫紋乳霜、3.茶樹控油細緻毛孔精粹液、4.鮮奶乳蠟黃亮白精粹液、5.深層海水能量撫紋精粹液、6.名媛晶燦淨白精粹液、7.洛神花彈性緊緻精粹液","里佳美妝品企業社","衛部粧廣字10509017","1050907","1060923","網路;;平面媒體(海報、傳單、報紙、刊物、雜誌、廣告牌、車體、車廂等)"
"衛福部","化粧品","海妮雅–緊緻面膜系列–1.雪蓮煥白面膜、2.玫瑰水漾面膜、3.海妮雅–舒緩修護精油","海妮雅國際美容事業股份有限公司","衛部粧廣字10509021","1050907","1060917","電影、電視(秒數:300)"
"衛福部","化粧品","海妮雅–緊緻面膜系列–1.雪蓮煥白面膜、2.玫瑰水漾面膜、3.海妮雅–舒緩修護精油","海妮雅國際美容事業股份有限公司","衛部粧廣字10509018","1050907","1060917","網路;;平面媒體(海報、傳單、報紙、刊物、雜誌、廣告牌、車體、車廂等)"
"臺中市","化粧品","1.WOW!全效快激活礦物泥膜2.WOW!全效快舒緩礦物泥膜3.WOW!全效快淨化礦物泥膜4.WOW!全效快水潤礦物泥膜5.WOW!全效快舒緩生物纖維面膜6.WOW!全效快激活生物纖維面膜7.WOW!全效快水潤生物纖維面膜8.WOW!全效快淨化生物纖維面膜9.高效妍白再生微膠原調理組10.高效妍白再生微膠原精萃","慶誠行銷有限公司","中市衛粧廣字10509477","1050908","1060908","網路;;平面媒體(海報、傳單、報紙、刊物、雜誌、廣告牌、車體、車廂等)"
"臺中市","化粧品","1.雪芙蘭 倍潤。肌修護護唇膏‧有機乳木果油2.雪芙蘭 倍潤。肌修護護唇膏‧有機山茶花油3.雪芙蘭 倍潤。肌修護護唇膏‧有機摩洛哥油4.水平衡果漾酵素洗面乳-西印度櫻桃淨白5.水平衡果漾酵素洗面乳-藍莓保濕6.水平衡果漾酵素洗面乳-葡萄柚控油7.雪芙蘭 淨肌礦物泥洗面乳-毛孔淨緻8.雪芙蘭 滋養霜9.雪芙蘭 保濕活膚霜10.雪芙蘭 細白修護霜","盛香堂股份有限公司","中市衛粧廣字10509452","1050906","1060906","網路;;平面媒體(海報、傳單、報紙、刊物、雜誌、廣告牌、車體、車廂等)"
"臺中市","化粧品","1.雪芙蘭 倍潤‧肌乳木果油‧深度滋養沐浴乳2.雪芙蘭 倍潤‧肌乳霜潤澤面膜‧有機乳木果油3.雪芙蘭 倍潤‧肌乳木果油‧深度滋養乳液4.雪芙蘭 倍潤‧肌乳木果油‧深度滋養乳霜5.雪芙蘭 倍潤‧肌乳木果油‧深度滋養護手霜6.雪芙蘭 倍潤‧肌修護護唇膏‧有機乳木果油7.雪芙蘭 倍潤‧肌山茶花油亮膚嫩白乳液8.雪芙蘭 倍潤‧肌摩洛哥油彈力潤澤乳液9.雪芙蘭 倍潤‧肌山茶花油亮膚嫩白乳霜10.雪芙蘭 倍潤‧肌摩洛哥油油彈力潤澤乳霜","盛香堂股份有限公司","中市衛粧廣字10509467","1050906","1060906","電影、電視(秒數:15);;網路"
