106	03~04	小葉菜類	芹菜	達滅芬Dimethomorph 0.04 (不符使用規定)	新竹縣政府衛生局	奇美蔬菜包裝場/新竹縣竹北市長青路一段207巷56號	
106	03~04	小葉菜類	芥蘭菜	亞滅培Acetamiprid 3.6 (2.0)、毆殺滅Oxamyl 0.9 (0.5)	新竹縣政府衛生局	奇美蔬菜包裝場/新竹縣竹北市長青路一段207巷56號	
106	03~04	小葉菜類	韭菜	加保扶Carbofuran 2.2 (1.0)	苗栗縣政府衛生局	鍾秀蘭/苗栗縣頭份市中山市場	
106	03~04	小葉菜類	青江菜	芬普尼Fipronil 0.037 (不符使用規定)	苗栗縣政府衛生局	杏晟有限公司(維家超市)、/ 苗栗縣公館鄉館東村大同路266號	
106	03~04	小葉菜類	芥藍菜	亞托敏Azoxystrobin 1.6 (1.0)、腐絕Thiabendazole 1.44 (不符使用規定)、得克利Tebuconazole 0.14 (不符使用規定)	南投縣政府衛生局	高姓商攤/南投縣集集鎮集賢街19號	
106	03~04	小葉菜類	芹菜	達滅芬Dimethomorph 0.29 (不符使用規定)	南投縣政府衛生局	日進商店/南投縣中寮鄉永平路281號	
106	03~04	小葉菜類	芹菜	達滅芬Dimethomorph 0.21 (不符使用規定)	宜蘭縣政府衛生局	合生/宜蘭市黎明二路1號	
106	03~04	小葉菜類	韭菜	得克利Tebuconazole 0.36 (不符使用規定)	臺東縣衛生局	松揚餐飲股份有限公司/臺東縣臺東市大道路1號	
106	03~04	小葉菜類	青江菜	克凡派Chlorfenapyr 1.6 (1.0)	臺北市政府衛生局	泓峰有限公司/臺北市萬華區萬大路424巷98號	
106	03~04	小葉菜類	青江菜	芬普尼Fipronil 0.02 (不符使用規定)	雲林縣衛生局	廖哲民/雲林縣西螺鎮新豐里206~10號	
106	03~04	小葉菜類	蔥	依普座Epoxiconazole 0.04 (不符使用規定)	雲林縣衛生局	梁淑倫/雲林縣西螺鎮果菜市場第五棟307號	
106	03~04	小葉菜類	芹菜	達滅芬Dimethomorph 0.12 (不符使用規定)、滅賜克Methiocarb 0.20 (不符使用規定)、得克利Tebuconazole 0.03 (不符使用規定)、普拔克Propamocarb hydrochloride 0.89 (不符使用規定)	雲林縣衛生局	社口果菜生產合作社/雲林縣西螺鎮福田里社口路28之3號	
106	03~04	小葉菜類	青江菜	芬普尼Fipronil 0.003 (不符使用規定)	金門縣衛生局	金莎大賣場/金門縣金沙鎮汶沙里五福街52號1樓	
106	03~04	小葉菜類	青江菜	芬普尼Fipronil 0.03 (不符使用規定)	嘉義縣衛生局	仁義湖岸大酒店有限公司/嘉義縣番路鄉內甕村後坑仔35號	
106	03~04	小葉菜類	青江菜	三氯松Trichlorfon 0.24 (不符使用規定)、二氯松Dichlorvos 0.07 (不符使用規定)	嘉義縣衛生局	梁美蓮菜販/嘉義縣東石鄉型厝41-5號前	
106	03~04	小葉菜類	大A菜	巴克素Paclobutrazol 0.05 (不符使用規定)	臺中市政府衛生局	金喜美股份有限公司大雅營業所/臺中市大雅區神林南路	
106	03~04	小葉菜類	青江菜	克凡派Chlorfenapyr 1.6 (1.0)	屏東縣政府衛生局	娜露灣水果專賣店/屏東縣屏東市中華路90號	
106	03~04	小葉菜類	青江菜	毆殺滅Oxamyl 0.8 (0.5)	南投縣政府衛生局	鮮友自助火鍋/南投縣草屯鎮成功路一段267號	
106	03~04	小葉菜類	油菜	芬普尼Fipronil 0.019 (不符使用規定)	苗栗縣政府衛生局	開泓百貨精品行/苗栗縣銅鑼鄉銅鑼村中正路73-1號1樓	
106	03~04	小葉菜類	小芥菜	毆殺斯Oxadixyl 0.03 (不符使用規定)	宜蘭縣政府衛生局	祐華國際有限公司(臻信福生活賣場)、/ 宜蘭縣礁溪鄉德陽村中山路二段	
106	03~04	小葉菜類	油麥菜	巴克素Paclobutrazol 0.03 (不符使用規定)	苗栗縣政府衛生局	大潤發頭份店/苗栗縣頭份市自強路230號	
106	03~04	小葉菜類	紅鳳菜	護粒松Edifenphos 0.02 (不符使用規定)、依芬寧Etofenprox 0.25 (不得檢出)、亞賜圃Isoprothiolane 0.04 (不符使用規定)、普硫松Prothiofos 1.9 (0.5)	屏東縣政府衛生局	許姓商攤/建國市場	
106	03~04	小葉菜類	紅鳳菜	草殺淨Ametryn 0.02 (不得檢出)	屏東縣政府衛生局	劉姓商攤/建國市場	
