"lineid","car","time","location","longitude","latitude","cityid","cityname"
"231009","110-UY","2017/09/15 11:01:27","新北市新店區松林路31號","121.547966666667","24.9100983333333","6500600","新店區"
"231007","189-VK","2017/09/15 11:01:30","新北市新店區新潭路一段160巷17號","121.529621666667","24.9319683333333","6500600","新店區"
"235025","378-QA","2017/09/15 03:50:22","新北市中和區員山路36巷13號","121.484038333333","24.9916","6500300","中和區"
"227005","282-VK","2017/09/15 11:01:21","新北市雙溪區魚行里丁子蘭坑22號","121.854891666667","25.0104416666667","6502500","雙溪區"
