SiteName,County,PSI,MajorPollutant,Status,SO2,CO,O3,PM10,PM2.5,NO2,WindSpeed,WindDirec,FPMI,NOx,NO,PublishTime
二林,彰化縣,55,懸浮微粒,普通,2.5,0.29,19,63,18,10,0.5,289,3,11.15,.85,2017-01-29 00:00
三重,新北市,42,,良好,2.2,0.94,,49,17,41,,,2,91.74,50.59,2017-01-29 00:00
三義,苗栗縣,45,,良好,1.2,0.33,17,44,19,10,1.5,222,3,11.4,1.44,2017-01-29 00:00
土城,新北市,24,,良好,1.7,0.71,2,27,10,26,1.2,145,1,52.52,26.85,2017-01-29 00:00
士林,臺北市,24,,良好,1.7,0.26,29,13,2,13,0.8,73,1,14.11,1.16,2017-01-29 00:00
大同,臺北市,38,,良好,1.7,1.15,,30,6,37,,,1,73.85,37.2,2017-01-29 00:00
大里,臺中市,53,懸浮微粒,普通,0.6,0.55,8.9,61,31,27,0.9,217,3,29.34,2.65,2017-01-29 00:00
大園,桃園市,40,,良好,1.3,0.27,29,22,16,7.2,2.5,221,2,8.3,1.12,2017-01-29 00:00
大寮,高雄市,60,懸浮微粒,普通,2.7,0.73,13,94,49,28,0.5,342,3,30.34,2.14,2017-01-29 00:00
小港,高雄市,56,懸浮微粒,普通,3.8,0.94,9.4,70,37,44,1.9,47,3,48.21,3.97,2017-01-29 00:00
中山,臺北市,18,,良好,1.4,0.57,14,9,9,29,0.7,110,2,34.01,5.37,2017-01-29 00:00
中壢,桃園市,54,懸浮微粒,普通,1.9,1.16,2.5,58,43,28,0.6,200,4,60.34,32.07,2017-01-29 00:00
仁武,高雄市,52,懸浮微粒,普通,2.9,0.68,7.6,71,27,37,0.4,334,2,37.84,.95,2017-01-29 00:00
斗六,雲林縣,57,懸浮微粒,普通,2.7,0.59,8.1,67,40,22,0.6,160,5,28.03,5.88,2017-01-29 00:00
冬山,宜蘭縣,28,,良好,1.8,0.2,19,34,6,5,0.7,9.9,2,6.47,1.48,2017-01-29 00:00
古亭,臺北市,18,,良好,1.5,0.43,21,14,8,22,0.7,126,1,26.47,4.03,2017-01-29 00:00
左營,高雄市,64,懸浮微粒,普通,3.1,0.77,15,104,45,29,1.2,1.9,3,29.96,1.13,2017-01-29 00:00
