"RouteID","StationId","EstimateTime","Memo"
"131","42274","250",""
"131","0372","250",""
"131","0373","250",""
"131","0374","250",""
"131","0375","250",""
"131","0376","250",""
"131","0377","250",""
"131","0378","250",""
"131","0379","250",""
"131","0380","250",""
"131","0381","250",""
"131","0382","250",""
"131","0383","250",""
"131","0384","250",""
"131","0385","250",""
"131","0386","250",""
"131","0387","250",""
"131","0388","250",""
"131","42275","250",""
"131","0389","250",""
"131","0390","250",""
"131","0391","250",""
"131","0392","250",""
"131","0393","250",""
"131","0394","250",""
"131","0395","250",""
"131","41313","250",""
"131","0396","250",""
"131","41314","250",""
"131","0397","250",""
"131","0398","250",""
"131","0399","250",""
"131","0400","250",""
"131","0401","250",""
"131","0402","250",""
"131","0403","250",""
"131","42276","250",""
"131","0404","250",""
"131","0405","250",""
"131","0406","250",""
"131","0407","250",""
"131","0408","250",""
"131","0409","250",""
"131","0410","250",""
"131","0411","250",""
"131","0412","250",""
"131","0413","250",""
"131","0414","250",""
"131","0415","250",""
"131","0416","250",""
"131","0417","250",""
"131","0418","250",""
"131","0419","250",""
"131","0420","250",""
"141","0289","46",""
"141","6602","50",""
"141","6603","51",""
"141","6604","51",""
"141","6605","52",""
"141","6606","53",""
"141","0017","53",""
"141","6607","54",""
"141","6608","55",""
"141","6609","56",""
"141","6610","56",""
"141","6611","57",""
"141","6612","57",""
"141","6613","58",""
"141","6614","59",""
"141","6615","61",""
"141","6616","62",""
"141","6617","63",""
"141","6618","65",""
"141","6619","66",""
"141","6620","71",""
"141","6621","71",""
"141","6622","76",""
"141","6626","79",""
"141","6627","80",""
"141","6628","82",""
"141","6629","83",""
"141","6630","2",""
"141","6631","3",""
"141","6632","4",""
"141","6633","5",""
"141","6634","5",""
"141","6635","6",""
"141","6636","6",""
"141","6637","7",""
"141","6639","8",""
"141","0018","10",""
"141","6640","11",""
"141","6641","12",""
"141","6642","12",""
"141","6643","13",""
"141","6644","14",""
"141","6645","18",""
"141","6646","18",""
"141","6647","19",""
"141","6648","21",""
"141","6649","22",""
"141","6650","24",""
"141","6651","24",""
"141","6652","25",""
"1112","10201","7",""
"1112","10202","7",""
"1112","10203","9",""
"1112","10204","9",""
"1112","10205","10",""
"1112","10206","11",""
"1112","10207","12",""
"1112","10208","12",""
"1112","10209","13",""
"1112","10210","13",""
"1112","10211","14",""
"1112","10212","15",""
"1112","10213","17",""
"1112","10214","18",""
"1112","10215","3",""
"1112","10216","4",""
"1112","10217","6",""
"1112","10218","7",""
"1112","10219","9",""
"1112","10220","9",""
"1112","10221","11",""
"1112","10222","12",""
"1112","10223","13",""
"1112","10224","14",""
"1112","10226","15",""
"1112","10225","17",""
"1112","10227","18",""
"1112","10228","19",""
"1112","10229","21",""
"1112","10230","22",""
"1112","10231","23",""
"1112","10232","26",""
"1112","10233","28",""
"1112","10234","30",""
"1112","10235","31",""
"1112","10236","32",""
"1112","10237","33",""
"1112","10238","34",""
"1112","10239","35",""
"1112","10240","35",""
"1112","10241","36",""
"1112","10242","37",""
