"lineid","car","time","location","longitude","latitude"
"234007","207-UY","2017/06/06 18:09:04","新北市永和區環河東路二段92號","121.524428333333","25.0106183333333"
"234026","9371-KE","2017/06/06 18:09:08","新北市永和區秀朗路一段10巷21號","121.513328333333","25.0062716666667"
"234011","9373-KE","2017/06/06 17:56:17","新北市永和區福和路1號","121.525536666667","25.00932"
"249005","172-UM","2017/06/06 18:08:51","新北市八里區荖阡坑路15-40號","121.40182","25.1397016666667"
"249001","173-UM","2017/06/06 18:08:59","新北市八里區龍米路二段36號","121.448485","25.140145"
"249004","303-UY","2017/06/06 18:08:51","新北市八里區龍米路二段140巷136號","121.43802","25.1547883333333"
"249002","305-UY","2017/06/06 18:09:07","新北市八里區龍米路一段386巷8號","121.452295","25.131675"
"249003","593-UM","2017/06/06 18:09:02","新北市八里區中華路二段165巷2-3號","121.40722","25.1509983333333"
"248014","025-BX","2017/06/06 18:08:47","新北市五股區成泰路二段9號","121.437018333333","25.081415"
"248006","077-UY","2017/06/06 18:08:51","新北市五股區中興路二段94號","121.460416666667","25.0775016666667"
"248008","095-VK","2017/06/06 18:08:59","新北市五股區中興路二段182巷15弄13-1號","121.457308333333","25.0810533333333"
"248020","225-UY","2017/06/06 18:08:54","新北市五股區凌雲路一段21號","121.454401666667","25.0993516666667"
"248010","272-BY","2017/06/06 18:09:02","新北市五股區成泰路一段216號","121.436648333333","25.0791266666667"
"248004","677-BX","2017/06/06 18:09:00","新北市五股區工商路48號","121.439176666667","25.0839266666667"
"248002","678-BX","2017/06/06 18:08:53","新北市五股區新城一路30-1號","121.442265","25.0846566666667"
"232011","375-UM","2017/06/06 18:08:59","新北市坪林區國中路4號","121.713401666667","24.9387483333333"
"244007","080-UY","2017/06/06 18:09:01","新北市林口區竹林路548號","121.387568333333","25.084535"
"244019","403-UM","2017/06/06 18:08:54","新北市林口區忠孝路542巷10弄3號","121.372313333333","25.06695"
"244013","742-UY","2017/06/06 18:08:53","新北市林口區中山路67號","121.393806666667","25.0784616666667"
"244009","410-SL","2017/06/06 18:08:57","新北市林口區竹林路614號","121.386498333333","25.082465"
"244023","483-VK","2017/06/06 18:09:06","新北市林口區隆林街123巷20號","121.384586666667","25.0741216666667"
"244017","485-VK","2017/06/06 18:09:09","新北市林口區忠孝路468號","121.369865","25.070855"
"244011","701-TV","2017/06/06 18:08:50","新北市林口區中正路101號","121.394136666667","25.0772633333333"
"244025","837-TS","2017/06/06 18:09:02","新北市林口區文化北路一段62號","121.356618333333","25.0686883333333"
"244021","838-TS","2017/06/06 18:09:00","新北市林口區自強五街25號","121.400371666667","25.0757"
"243013","AAD-798","2017/06/06 18:08:40","新北市泰山區黎明路47號","121.421991666667","25.05758"
"222003","436-BY","2017/06/06 18:08:53","新北市深坑區腳坑6號","121.610331666667","24.9947983333333"
"222001","696-SL","2017/06/06 18:09:03","新北市深坑區北深路二段186號","121.61407","25.00224"
"231053","187-VK","2017/06/06 18:08:55","新北市新店區安華路28-1號","121.519511666667","24.961175"
"231069","189-VK","2017/06/06 11:58:29","新北市新店區安華路28-1號","121.519561666667","24.9612883333333"
"231046","278-BY","2017/06/06 18:08:55","新北市新店區直潭七街60號","121.532263333333","24.9399833333333"
"231058","3712-VJ","2017/06/06 18:08:50","新北市新店區安華路1-1號","121.519373333333","24.9605166666667"
