SiteName,MonitorDate,Concentration,ItemUnit
馬公,2017-12-12,,μg/m3
金門,2017-12-12,,μg/m3
馬祖,2017-12-12,,μg/m3
宜蘭,2017-12-12,,μg/m3
陽明,2017-12-12,,μg/m3
花蓮,2017-12-12,,μg/m3
臺東,2017-12-12,,μg/m3
恆春,2017-12-12,,μg/m3
屏東,2017-12-12,,μg/m3
前金,2017-12-12,,μg/m3
美濃,2017-12-12,,μg/m3
臺南,2017-12-12,,μg/m3
新營,2017-12-12,,μg/m3
嘉義,2017-12-12,,μg/m3
朴子,2017-12-12,,μg/m3
斗六,2017-12-12,,μg/m3
南投,2017-12-12,,μg/m3
彰化,2017-12-12,,μg/m3
忠明,2017-12-12,,μg/m3
豐原,2017-12-12,,μg/m3
三義,2017-12-12,,μg/m3
苗栗,2017-12-12,,μg/m3
新竹,2017-12-12,,μg/m3
竹東,2017-12-12,,μg/m3
平鎮,2017-12-12,,μg/m3
桃園,2017-12-12,,μg/m3
萬華,2017-12-12,,μg/m3
士林,2017-12-12,,μg/m3
板橋,2017-12-12,,μg/m3
汐止,2017-12-12,,μg/m3
基隆,2017-12-12,,μg/m3
馬公,2017-12-09,19,μg/m3
金門,2017-12-09,54,μg/m3
馬祖,2017-12-09,35,μg/m3
宜蘭,2017-12-09,10,μg/m3
陽明,2017-12-09,5,μg/m3
花蓮,2017-12-09,10,μg/m3
臺東,2017-12-09,9,μg/m3
恆春,2017-12-09,8,μg/m3
屏東,2017-12-09,50,μg/m3
前金,2017-12-09,46,μg/m3
美濃,2017-12-09,39,μg/m3
臺南,2017-12-09,33,μg/m3
新營,2017-12-09,31,μg/m3
嘉義,2017-12-09,39,μg/m3
朴子,2017-12-09,27,μg/m3
斗六,2017-12-09,37,μg/m3
南投,2017-12-09,32,μg/m3
彰化,2017-12-09,21,μg/m3
忠明,2017-12-09,18,μg/m3
豐原,2017-12-09,17,μg/m3
三義,2017-12-09,13,μg/m3
苗栗,2017-12-09,17,μg/m3
新竹,2017-12-09,20,μg/m3
竹東,2017-12-09,,μg/m3
平鎮,2017-12-09,18,μg/m3
桃園,2017-12-09,16,μg/m3
萬華,2017-12-09,13,μg/m3
士林,2017-12-09,10,μg/m3
板橋,2017-12-09,14,μg/m3
汐止,2017-12-09,13,μg/m3
基隆,2017-12-09,11,μg/m3
馬公,2017-12-06,14,μg/m3
金門,2017-12-06,48,μg/m3
馬祖,2017-12-06,42,μg/m3
宜蘭,2017-12-06,13,μg/m3
陽明,2017-12-06,7,μg/m3
花蓮,2017-12-06,12,μg/m3
臺東,2017-12-06,10,μg/m3
恆春,2017-12-06,8,μg/m3
屏東,2017-12-06,37,μg/m3
前金,2017-12-06,43,μg/m3
美濃,2017-12-06,33,μg/m3
臺南,2017-12-06,36,μg/m3
新營,2017-12-06,34,μg/m3
嘉義,2017-12-06,37,μg/m3
朴子,2017-12-06,29,μg/m3
斗六,2017-12-06,35,μg/m3
南投,2017-12-06,30,μg/m3
彰化,2017-12-06,22,μg/m3
忠明,2017-12-06,22,μg/m3
豐原,2017-12-06,21,μg/m3
三義,2017-12-06,16,μg/m3
苗栗,2017-12-06,16,μg/m3
新竹,2017-12-06,16,μg/m3
竹東,2017-12-06,12,μg/m3
平鎮,2017-12-06,15,μg/m3
桃園,2017-12-06,13,μg/m3
萬華,2017-12-06,13,μg/m3
士林,2017-12-06,10,μg/m3
板橋,2017-12-06,12,μg/m3
汐止,2017-12-06,14,μg/m3
基隆,2017-12-06,12,μg/m3
馬公,2017-12-03,10,μg/m3
金門,2017-12-03,17,μg/m3
馬祖,2017-12-03,13,μg/m3
宜蘭,2017-12-03,3,μg/m3
陽明,2017-12-03,,μg/m3
花蓮,2017-12-03,5,μg/m3
臺東,2017-12-03,4,μg/m3
恆春,2017-12-03,3,μg/m3
屏東,2017-12-03,41,μg/m3
前金,2017-12-03,35,μg/m3
美濃,2017-12-03,32,μg/m3
臺南,2017-12-03,23,μg/m3
新營,2017-12-03,21,μg/m3
嘉義,2017-12-03,24,μg/m3
朴子,2017-12-03,18,μg/m3
斗六,2017-12-03,24,μg/m3
南投,2017-12-03,16,μg/m3
彰化,2017-12-03,11,μg/m3
忠明,2017-12-03,10,μg/m3
豐原,2017-12-03,8,μg/m3
三義,2017-12-03,11,μg/m3
苗栗,2017-12-03,8,μg/m3
新竹,2017-12-03,8,μg/m3
竹東,2017-12-03,4,μg/m3
平鎮,2017-12-03,,μg/m3
桃園,2017-12-03,7,μg/m3
萬華,2017-12-03,6,μg/m3
士林,2017-12-03,5,μg/m3
板橋,2017-12-03,7,μg/m3
汐止,2017-12-03,6,μg/m3
基隆,2017-12-03,6,μg/m3
馬公,2017-11-30,8,μg/m3
金門,2017-11-30,9,μg/m3
