SiteName,SiteEngName,DamName,County,Township,TWD97Lon,TWD97Lat,TWD97TM2X,TWD97TM2Y,SampleDate,SampleLayer,SampleDepth,ItemName,ItemEngName,ItemEngAbbreviation,ItemValue,ItemUnit
金湖,Jin hu,金湖,金門縣,金湖鎮,118.4583703,24.4344722,7751.00,2705522.00,2016-10-25,表水,0.50m,卡爾森指數,Carlson Trophic State Index,CTSI,-,
寶二水庫一,Bao-Er Reservoir I,寶二水庫,新竹縣,北埔鄉,121.0444444,24.7194953,254496.36,2734707.11,2016-11-02,表水,0.50m,葉綠素a,Chlorophyl-A,Chl-A,4.7,μg/L
寶二水庫一,Bao-Er Reservoir I,寶二水庫,新竹縣,北埔鄉,121.0444444,24.7194953,254496.36,2734707.11,2016-11-02,表水,0.50m,總磷,Total-Phosphate,TP,0.039,mg/L
寶二水庫一,Bao-Er Reservoir I,寶二水庫,新竹縣,北埔鄉,121.0444444,24.7194953,254496.36,2734707.11,2016-11-02,表水,0.50m,溶氧飽和度,Dissolved Oxygen Saturation,DOS,105.2,%
寶二水庫一,Bao-Er Reservoir I,寶二水庫,新竹縣,北埔鄉,121.0444444,24.7194953,254496.36,2734707.11,2016-11-02,表水,0.50m,氨氮,NH3-N,NH3-N,0.02,mg/L
寶二水庫一,Bao-Er Reservoir I,寶二水庫,新竹縣,北埔鄉,121.0444444,24.7194953,254496.36,2734707.11,2016-11-02,表水,0.50m,化學需氧量,Chemical Oxygen Demand,COD,6.3,mg/L
寶二水庫一,Bao-Er Reservoir I,寶二水庫,新竹縣,北埔鄉,121.0444444,24.7194953,254496.36,2734707.11,2016-11-02,表水,0.50m,溶氧(電極法),Dissolved Oxygen,DO,8.7,mg/L
寶二水庫一,Bao-Er Reservoir I,寶二水庫,新竹縣,北埔鄉,121.0444444,24.7194953,254496.36,2734707.11,2016-11-02,表水,0.50m,懸浮固體,Suspended Solid,SS,3.7,mg/L
寶二水庫一,Bao-Er Reservoir I,寶二水庫,新竹縣,北埔鄉,121.0444444,24.7194953,254496.36,2734707.11,2016-11-02,表水,0.50m,氣溫,Temperature,TMP,26.5,℃
寶二水庫一,Bao-Er Reservoir I,寶二水庫,新竹縣,北埔鄉,121.0444444,24.7194953,254496.36,2734707.11,2016-11-02,表水,0.50m,採樣深度,Sampling Depth,SDP,0.5,m
寶二水庫一,Bao-Er Reservoir I,寶二水庫,新竹縣,北埔鄉,121.0444444,24.7194953,254496.36,2734707.11,2016-11-02,表水,0.50m,導電度,Conductivity,EC,276,μmho/cm25℃
寶二水庫一,Bao-Er Reservoir I,寶二水庫,新竹縣,北埔鄉,121.0444444,24.7194953,254496.36,2734707.11,2016-11-02,表水,0.50m,濁度,Turbidity,TB,4.4,NTU
寶二水庫一,Bao-Er Reservoir I,寶二水庫,新竹縣,北埔鄉,121.0444444,24.7194953,254496.36,2734707.11,2016-11-02,表水,0.50m,酸鹼值,pH,pH,7.7,
寶二水庫一,Bao-Er Reservoir I,寶二水庫,新竹縣,北埔鄉,121.0444444,24.7194953,254496.36,2734707.11,2016-11-02,表水,0.50m,透明度,Transparency,SD,1.6,m
寶二水庫一,Bao-Er Reservoir I,寶二水庫,新竹縣,北埔鄉,121.0444444,24.7194953,254496.36,2734707.11,2016-11-02,表水,0.50m,水溫,Water Temperature,WT,25.0,℃
寶二水庫一,Bao-Er Reservoir I,寶二水庫,新竹縣,北埔鄉,121.0444444,24.7194953,254496.36,2734707.11,2016-11-02,表水,0.50m,卡爾森指數,Carlson Trophic State Index,CTSI,-,
菜浦沃,CaiPuWo,菜浦沃,連江縣,莒光鄉,119.9432050,25.9771670,345050.89,2874747.69,2016-11-08,表水,0.50m,葉綠素a,Chlorophyl-A,Chl-A,20.1,μg/L
菜浦沃,CaiPuWo,菜浦沃,連江縣,莒光鄉,119.9432050,25.9771670,345050.89,2874747.69,2016-11-08,表水,0.50m,總磷,Total-Phosphate,TP,0.025,mg/L
菜浦沃,CaiPuWo,菜浦沃,連江縣,莒光鄉,119.9432050,25.9771670,345050.89,2874747.69,2016-11-08,表水,0.50m,溶氧飽和度,Dissolved Oxygen Saturation,DOS,110.2,%
菜浦沃,CaiPuWo,菜浦沃,連江縣,莒光鄉,119.9432050,25.9771670,345050.89,2874747.69,2016-11-08,表水,0.50m,氨氮,NH3-N,NH3-N,0.02,mg/L
菜浦沃,CaiPuWo,菜浦沃,連江縣,莒光鄉,119.9432050,25.9771670,345050.89,2874747.69,2016-11-08,表水,0.50m,化學需氧量,Chemical Oxygen Demand,COD,15.7,mg/L
菜浦沃,CaiPuWo,菜浦沃,連江縣,莒光鄉,119.9432050,25.9771670,345050.89,2874747.69,2016-11-08,表水,0.50m,溶氧(電極法),Dissolved Oxygen,DO,9.7,mg/L
菜浦沃,CaiPuWo,菜浦沃,連江縣,莒光鄉,119.9432050,25.9771670,345050.89,2874747.69,2016-11-08,表水,0.50m,懸浮固體,Suspended Solid,SS,4.7,mg/L
菜浦沃,CaiPuWo,菜浦沃,連江縣,莒光鄉,119.9432050,25.9771670,345050.89,2874747.69,2016-11-08,表水,0.50m,氣溫,Temperature,TMP,25.2,℃
菜浦沃,CaiPuWo,菜浦沃,連江縣,莒光鄉,119.9432050,25.9771670,345050.89,2874747.69,2016-11-08,表水,0.50m,採樣深度,Sampling Depth,SDP,0.5,m
菜浦沃,CaiPuWo,菜浦沃,連江縣,莒光鄉,119.9432050,25.9771670,345050.89,2874747.69,2016-11-08,表水,0.50m,導電度,Conductivity,EC,844,μmho/cm25℃
菜浦沃,CaiPuWo,菜浦沃,連江縣,莒光鄉,119.9432050,25.9771670,345050.89,2874747.69,2016-11-08,表水,0.50m,濁度,Turbidity,TB,3.6,NTU
菜浦沃,CaiPuWo,菜浦沃,連江縣,莒光鄉,119.9432050,25.9771670,345050.89,2874747.69,2016-11-08,表水,0.50m,酸鹼值,pH,pH,8.9,
菜浦沃,CaiPuWo,菜浦沃,連江縣,莒光鄉,119.9432050,25.9771670,345050.89,2874747.69,2016-11-08,表水,0.50m,透明度,Transparency,SD,1.3,m
菜浦沃,CaiPuWo,菜浦沃,連江縣,莒光鄉,119.9432050,25.9771670,345050.89,2874747.69,2016-11-08,表水,0.50m,水溫,Water Temperature,WT,22.3,℃
菜浦沃,CaiPuWo,菜浦沃,連江縣,莒光鄉,119.9432050,25.9771670,345050.89,2874747.69,2016-11-08,表水,0.50m,卡爾森指數,Carlson Trophic State Index,CTSI,-,
樂道沃,Le-Dao-Wo,樂道沃,連江縣,莒光鄉,119.9314790,25.9800920,343884.26,2874710.67,2016-11-08,表水,0.50m,葉綠素a,Chlorophyl-A,Chl-A,11.9,μg/L
樂道沃,Le-Dao-Wo,樂道沃,連江縣,莒光鄉,119.9314790,25.9800920,343884.26,2874710.67,2016-11-08,表水,0.50m,總磷,Total-Phosphate,TP,0.022,mg/L
樂道沃,Le-Dao-Wo,樂道沃,連江縣,莒光鄉,119.9314790,25.9800920,343884.26,2874710.67,2016-11-08,表水,0.50m,溶氧飽和度,Dissolved Oxygen Saturation,DOS,104.1,%
樂道沃,Le-Dao-Wo,樂道沃,連江縣,莒光鄉,119.9314790,25.9800920,343884.26,2874710.67,2016-11-08,表水,0.50m,氨氮,NH3-N,NH3-N,0.15,mg/L
樂道沃,Le-Dao-Wo,樂道沃,連江縣,莒光鄉,119.9314790,25.9800920,343884.26,2874710.67,2016-11-08,表水,0.50m,化學需氧量,Chemical Oxygen Demand,COD,10.5,mg/L
樂道沃,Le-Dao-Wo,樂道沃,連江縣,莒光鄉,119.9314790,25.9800920,343884.26,2874710.67,2016-11-08,表水,0.50m,溶氧(電極法),Dissolved Oxygen,DO,9.2,mg/L
樂道沃,Le-Dao-Wo,樂道沃,連江縣,莒光鄉,119.9314790,25.9800920,343884.26,2874710.67,2016-11-08,表水,0.50m,懸浮固體,Suspended Solid,SS,4.3,mg/L
樂道沃,Le-Dao-Wo,樂道沃,連江縣,莒光鄉,119.9314790,25.9800920,343884.26,2874710.67,2016-11-08,表水,0.50m,氣溫,Temperature,TMP,25.1,℃
