01001	01001 己二烯酸	2013-09-02	http://www.fda.gov.tw:8080/tc/includes/GetFile.ashx?mid=133&id=2619&t=s	
01002	01002 己二烯酸鉀	2013-09-02	http://www.fda.gov.tw:8080/tc/includes/GetFile.ashx?mid=133&id=2620&t=s	
01003	01003 己二烯酸鈉	2013-09-02	http://www.fda.gov.tw:8080/tc/includes/GetFile.ashx?mid=133&id=2621&t=s	
01004	01004 丙酸鈣	2013-09-02	http://www.fda.gov.tw:8080/tc/includes/GetFile.ashx?mid=133&id=2622&t=s	
01005	01005 丙酸鈉	2013-09-02	http://www.fda.gov.tw:8080/tc/includes/GetFile.ashx?mid=133&id=2623&t=s	
01006	01006 去水醋酸	2013-09-02	http://www.fda.gov.tw:8080/tc/includes/GetFile.ashx?mid=133&id=2624&t=s	
01007	01007 去水醋酸鈉	2013-09-02	http://www.fda.gov.tw:8080/tc/includes/GetFile.ashx?mid=133&id=2625&t=s	
01008	01008 苯甲酸	2013-09-02	http://www.fda.gov.tw:8080/tc/includes/GetFile.ashx?mid=133&id=2626&t=s	
01009	01009 苯甲酸鈉	2013-09-02	http://www.fda.gov.tw:8080/tc/includes/GetFile.ashx?mid=133&id=2627&t=s	
01010	01010 對羥苯甲酸乙酯	2013-09-02	http://www.fda.gov.tw:8080/tc/includes/GetFile.ashx?mid=133&id=2628&t=s	
01011	01011 對羥苯甲酸丙酯	2013-09-02	http://www.fda.gov.tw:8080/tc/includes/GetFile.ashx?mid=133&id=2629&t=s	
01012	01012 對羥苯甲酸丁酯	2013-09-02	http://www.fda.gov.tw:8080/tc/includes/GetFile.ashx?mid=133&id=2630&t=s	
01013	01013 對羥苯甲酸異丙酯	2013-09-02	http://www.fda.gov.tw:8080/tc/includes/GetFile.ashx?mid=133&id=2631&t=s	
01014	01014 對羥苯甲酸異丁酯	2013-09-02	http://www.fda.gov.tw:8080/tc/includes/GetFile.ashx?mid=133&id=2632&t=s	
01016	01016 二醋酸鈉	2013-09-02	http://www.fda.gov.tw:8080/tc/includes/GetFile.ashx?mid=133&id=2633&t=s	
01018	01018 苯甲酸鉀	2013-09-02	http://www.fda.gov.tw:8080/tc/includes/GetFile.ashx?mid=133&id=2634&t=s	
01019	01019 乳酸鏈球菌素	2015-09-17	http://www.fda.gov.tw:8080/TC/siteListContent.aspx?sid=1798&id=14071	
01020	01020 雙十二烷基硫酸硫胺明	2013-09-02	http://www.fda.gov.tw:8080/tc/includes/GetFile.ashx?mid=133&id=2636&t=s	
01021	01021 丙酸	2013-09-02	http://www.fda.gov.tw:8080/tc/includes/GetFile.ashx?mid=133&id=2637&t=s	
01022	01022 鏈黴菌素	2013-09-02	http://www.fda.gov.tw:8080/tc/includes/GetFile.ashx?mid=133&id=3819&t=s	
01024	01024 二甲基二碳酸酯	2013-09-02	http://www.fda.gov.tw:8080/tc/includes/GetFile.ashx?mid=133&id=5555&t=s	
