SiteName,County,PSI,MajorPollutant,Status,SO2,CO,O3,PM10,PM2.5,NO2,WindSpeed,WindDirec,FPMI,NOx,NO,PublishTime
二林,彰化縣,78,懸浮微粒,普通,2.7,0.28,29,89,30,12,2.2,40,3,11.94,.4,2017-02-18 23:00
三重,新北市,64,懸浮微粒,普通,2.7,1.03,,63,24,45,,,3,109.62,64.34,2017-02-18 23:00
三義,苗栗縣,60,懸浮微粒,普通,1.3,0.29,37,47,25,3.9,2.7,33,3,4.55,.71,2017-02-18 23:00
土城,新北市,52,懸浮微粒,普通,1.2,0.39,47,38,21,12,1.2,139,3,12.36,.79,2017-02-18 23:00
士林,臺北市,49,,良好,0.9,0.31,47,37,19,9.8,2.9,116,2,10.5,.66,2017-02-18 23:00
大同,臺北市,60,懸浮微粒,普通,1.3,0.56,,69,22,20,,,3,25.39,5.24,2017-02-18 23:00
大里,臺中市,80,懸浮微粒,普通,13,0.67,8,100,46,32,1.2,206,5,37.19,4.99,2017-02-18 23:00
大園,桃園市,62,懸浮微粒,普通,5.5,0.3,45,54,20,18,6.1,58,3,20.93,2.84,2017-02-18 23:00
大寮,高雄市,98,懸浮微粒,普通,5.7,0.77,9.9,152,55,37,1.4,321,7,38.86,1.52,2017-02-18 23:00
小港,高雄市,106,懸浮微粒,不良,3.5,1.21,10,187,74,46,1.1,356,10,46.53,.67,2017-02-18 23:00
中山,臺北市,54,懸浮微粒,普通,0.4,0.53,39,49,26,21,3.3,91,3,23.99,2.97,2017-02-18 23:00
中壢,桃園市,50,,良好,2.4,0.72,40,9,15,21,2.1,156,3,31.94,10.51,2017-02-18 23:00
仁武,高雄市,115,懸浮微粒,不良,4,0.69,19,179,73,28,1.8,326,9,29.39,1.49,2017-02-18 23:00
斗六,雲林縣,78,懸浮微粒,普通,1.5,0.34,27,88,50,13,0.8,26,7,15.81,3.14,2017-02-18 23:00
冬山,宜蘭縣,58,懸浮微粒,普通,2.1,0.27,56,51,22,5.9,1.8,59,3,7.02,1.16,2017-02-18 23:00
古亭,臺北市,49,,良好,0.7,0.38,49,27,30,13,2.8,131,3,14.75,1.28,2017-02-18 23:00
左營,高雄市,110,懸浮微粒,不良,3.7,0.71,20,183,92,26,2,315,10,27.21,1.06,2017-02-18 23:00
平鎮,桃園市,60,懸浮微粒,普通,1.3,0.33,50,49,25,9.4,4.2,61,3,10.97,1.53,2017-02-18 23:00
