MeasureId,MeasureLocation,MeasureDate,County,Township,MeasureAddress,RadiatorTypeName,PowerDensityMax,ItemUnit,Legal
F01267,秀捷變電站（中和新蘆線）,2016-08-25,新北市,中和區,捷運路100之1號,變電站,4.404,mG,True
J00875,全家便利商店_竹北新華興店_無線區域網路(Wi-Fi)量測,2016-12-02,新竹縣,竹北市,華興街287號,無線區域網路(Wi-Fi),1.930932E-06,mW/cm<sup>2</sup>,True
J00872,全家便利商店_竹北泰和店_無線區域網路(Wi-Fi)量測,2016-12-02,新竹縣,竹北市,泰和路169號,無線區域網路(Wi-Fi),1.918501E-06,mW/cm<sup>2</sup>,True
J00871,全家便利商店_竹北環竹店_無線區域網路(Wi-Fi)量測,2016-12-02,新竹縣,竹北市,中山路178號,無線區域網路(Wi-Fi),1.9123E-06,mW/cm<sup>2</sup>,True
M10115,草屯鎮日新街71巷口,2016-12-02,南投縣,草屯鎮,草屯鎮日新街71巷口,站臺式變壓器,2.37,mG,True
M10114,草屯鎮日新街37號前,2016-12-02,南投縣,草屯鎮,草屯鎮日新街37號前,站臺式變壓器,2.08,mG,True
M10125,南投市千秋路375號前,2016-12-07,南投縣,南投市,南投市千秋路375號前,站臺式變壓器,2.64,mG,True
X10154,馬公市風櫃里基地台,2016-11-04,澎湖縣,馬公市,馬公市風櫃里,手機基地臺,0.052,mW/cm<sup>2</sup>,True
A01172,松勤街與松智路口無線區域網路電磁波量測,2016-12-07,臺北市,信義區,松勤街與松智路口,無線區域網路(Wi-Fi),0.000467,mW/cm<sup>2</sup>,True
A01171,吳興街118巷35弄8號無線區域網路電磁波量測,2016-12-07,臺北市,信義區,吳興街118巷35弄8號,無線區域網路(Wi-Fi),0.000106,mW/cm<sup>2</sup>,True
