SiteName,County,PSI,MajorPollutant,Status,SO2,CO,O3,PM10,PM2.5,NO2,WindSpeed,WindDirec,FPMI,NOx,NO,PublishTime
二林,彰化縣,27,,良好,2.9,0.25,32,7,9,9.9,5.2,37,1,11.13,1.22,2017-01-15 11:00
三重,新北市,39,,良好,3,1.15,,34,7,31,,,1,63.94,32.79,2017-01-15 11:00
三義,苗栗縣,28,,良好,0.7,0.21,33,19,4,4.1,4.7,37,1,5.73,1.67,2017-01-15 11:00
土城,新北市,29,,良好,1.2,0.34,34,18,4,10,1.7,244,1,12.11,1.89,2017-01-15 11:00
士林,臺北市,32,,良好,1.4,0.22,38,20,5,6.7,2.4,118,1,7.44,.77,2017-01-15 11:00
大同,臺北市,38,,良好,3.9,0.67,,39,3,31,,,1,65.71,34.45,2017-01-15 11:00
大里,臺中市,19,,良好,2.5,0.4,23,11,8,17,2.3,311,2,20.76,3.85,2017-01-15 11:00
大園,桃園市,36,,良好,1.9,0.21,35,39,5,12,6.2,54,1,14.59,2.46,2017-01-15 11:00
大寮,高雄市,62,懸浮微粒,普通,8.6,0.66,20,73,44,23,2.5,321,5,30.49,7.82,2017-01-15 11:00
小港,高雄市,56,懸浮微粒,普通,4.8,0.9,17,75,58,29,1.9,18,,39.86,10.66,2017-01-15 11:00
中山,臺北市,18,,良好,3,0.52,17,17,9,27,2.6,118,1,39.02,11.61,2017-01-15 11:00
中壢,桃園市,37,,良好,3.7,0.53,25,34,8,20,1.4,136,1,32.48,12.03,2017-01-15 11:00
仁武,高雄市,70,懸浮微粒,普通,2.8,0.68,13,92,52,25,2.3,318,4,33.46,8.3,2017-01-15 11:00
斗六,雲林縣,34,,良好,2.1,0.31,25,36,23,11,2.4,17,3,12.67,1.67,2017-01-15 11:00
冬山,宜蘭縣,32,,良好,1.7,0.17,38,18,5,4.4,2.4,242,1,5.57,1.13,2017-01-15 11:00
古亭,臺北市,25,,良好,1.8,0.32,30,21,13,16,3.1,85,2,19.72,3.86,2017-01-15 11:00
左營,高雄市,68,懸浮微粒,普通,4.1,0.74,16,98,62,21,1.8,319,7,25.38,4.65,2017-01-15 11:00
平鎮,桃園市,29,,良好,3.3,0.32,35,16,5,11,4.3,57,1,12.94,1.66,2017-01-15 11:00
永和,新北市,26,,良好,2.6,0.44,31,13,6,13,2.8,95,1,16.89,3.71,2017-01-15 11:00
安南,臺南市,54,懸浮微粒,普通,2.6,0.37,21,46,23,13,2.6,305,3,18.81,5.74,2017-01-15 11:00
朴子,嘉義縣,51,懸浮微粒,普通,2.4,0.24,35,48,12,7.6,3.5,64,2,9.38,1.74,2017-01-15 11:00
汐止,新北市,26,,良好,1.4,0.32,31,13,11,14,1.9,41,2,16.34,2.66,2017-01-15 11:00
竹山,南投縣,47,,良好,3.1,0.42,14,43,31,15,2,349,3,18.54,3.23,2017-01-15 11:00
竹東,新竹縣,30,,良好,1.3,0.19,36,13,10,4.5,3.2,67,1,6.38,1.85,2017-01-15 11:00
西屯,臺中市,29,,良好,0.5,0.17,35,23,13,6.6,4.1,72,1,8.05,1.42,2017-01-15 11:00
沙鹿,臺中市,29,,良好,1.6,0.22,35,17,5,8.2,3.9,297,1,9.83,1.66,2017-01-15 11:00
宜蘭,宜蘭縣,26,,良好,1.4,0.24,29,24,7,13,1.5,199,1,17.92,4.98,2017-01-15 11:00
忠明,臺中市,23,,良好,2.2,0.31,25,31,13,16,2.2,19,2,19.47,3.41,2017-01-15 11:00
松山,臺北市,26,,良好,1.9,0.34,25,29,24,20,1.6,63,2,23.86,4.27,2017-01-15 11:00
板橋,新北市,26,,良好,2.5,0.4,24,24,10,21,2.5,81,1,24.55,3.64,2017-01-15 11:00
林口,新北市,36,,良好,2,0.29,28,37,,16,3.1,59,,19.3,3.71,2017-01-15 11:00
林園,高雄市,49,,良好,9.8,0.73,26,51,17,25,3.2,321,2,34.34,9.05,2017-01-15 11:00
花蓮,花蓮縣,29,,良好,2,0.33,34,17,3,10,1.9,44,1,12.21,2.23,2017-01-15 11:00
