臺北市中山區林森北路369號	1040428	1080427	中餐烹調丙級	華泰大飯店	
臺北市松山區敦化北路100號	1040319	1080318	中餐烹調丙級	王朝大酒店	
臺北市松山區民生東路三段111號	1041030	1081029	中餐烹調丙級		
臺北市中山區樂群二路55號	1041212	1081211	中餐烹調丙級	台北美福大飯店	
臺北市文山區木新路三段155巷7號	1031014	1071013	中餐烹調丙級	味帝企業股份有限公司(力行國小)	
臺北市北投區石牌路二段201號	1030916	1070915	中餐烹調丙級	台北榮總營養部	
臺北市信義區松壽路11號B3	1040815	1080814	中餐烹調丙級		
臺北市松山區敦化北路230號	1050819	1090818	中餐烹調丙級	益杉有限公司-蓮田飯店	
臺中市大里區東興路320巷2號-上弘便當工廠	1021103	1061102	中餐烹調丙級	上弘便當工廠	
臺北市萬華區長沙街一段20號1樓	1040119	1080118	中餐烹調丙級		
臺北市萬華區環河南路一段77號	1030220	1070219	中餐烹調丙級	豪景大飯店	
臺北市中正區中山南路7號	1041002	1081001	中餐烹調丙級	臺大醫院營養部	
臺北市中山區中山北路二段63號	1030503	1070502	中餐烹調丙級	國賓大飯店股份有限公司-台北分公司	
臺北市中山區民權東路二段41號	1030122	1070121	中餐烹調丙級	亞都麗緻大飯店	
高雄市鹽埕區大仁路43號	1040811	1080810	中餐烹調丙級	雲朗觀光股份有限公司-高雄館	
臺北市信義區松仁路38號	1021015	1061014	中餐烹調丙級	台北寒舍艾美酒店	
新北市板橋區新站路16號48樓	1050511	1090510	中餐烹調丙級	香格里拉台北遠東國際大飯店板橋營業所	
臺北市中山區中山北路四段1號	1030130	1070129	中餐烹調乙級	圓山大飯店	
桃園市大溪區日新路166號	1031031	1071030	中餐烹調丙級	笠復威斯汀股份有限公司	
臺北市萬華區艋舺大道275巷15號一樓	1030421	1070420	中餐烹調乙級	中原食品工業開發股份有限公司	
臺北市南港區重陽路263巷8號	1050622	1090621	中餐烹調丙級	第一餐盒股份有限公司	
臺北市北投區石牌路二段201號	1041011	1081010	中餐烹調丙級	菁華人力資源管理顧問股份有限公司-台北榮民總醫院	
臺北市中山區中山北路四段1號	1020909	1060908	中餐烹調乙級	圓山飯店	
新北市五股區五權路54號	1040412	1080411	中餐烹調丙級	宏遠國際餐飲股份有限公司	
臺北市中山區中山北路二段39巷3號	1020616	1060615	中餐烹調丙級	晶華國際酒店(股)公司	
臺北市文山區景興路85巷12號	1041110	1081109	中餐烹調丙級		
基隆市中正區新豐街405號1樓	1040625	1080624	中餐烹調丙級	源立魯肉飯小吃店	
高雄市楠梓區盛昌街161號	1021122	1061121	中餐烹調丙級	高雄市右昌國中	
雲林縣虎尾鎮虎尾鎮新生路74號	1060115	1100114	中餐烹調丙級	虎尾天主教若瑟醫院	
臺北市中正區北平西路6號9樓之6	1050523	1090522	中餐烹調丙級	興葉企業有限公司	
高雄市大樹區義大8街100號	1021226	1061225	中餐烹調乙級	天悅大酒店	
