MOHWP0038.01	食品中殘留農藥檢驗方法－水果多重殘留分析(三)	2013-09-06	http://www.fda.gov.tw/tc/includes/SiteListGetFile.ashx?mid=133&id=2378&chk=9EDC160E-92F3-4713-9EC4-DA0C262E001B	
MOHWP0040.01	食品中殘留農藥檢驗方法－殺草劑拔敵草之檢驗	2013-09-06	http://www.fda.gov.tw/tc/includes/SiteListGetFile.ashx?mid=133&id=2382&chk=1850ED1D-D208-427C-9441-C73178BAC795	
MOHWP0041.01	食品中殘留農藥檢驗方法－殺蟲劑克芬松之檢驗	2013-09-06	http://www.fda.gov.tw/tc/includes/SiteListGetFile.ashx?mid=133&id=2389&chk=14674514-B08F-4E2E-B82B-CA77EE02BB84	
MOHWP0043.01	食品中殘留農藥檢驗方法－殺草劑固殺草及其代謝物之檢驗	2013-09-06	http://www.fda.gov.tw/tc/includes/SiteListGetFile.ashx?mid=133&id=2392&chk=C6DAE93D-BD36-47A7-B20A-962D62236311	
MOHWP0044.01	食品中殘留農藥檢驗方法－殺菌劑賽福座及其代謝物之檢驗	2013-09-06	http://www.fda.gov.tw/tc/includes/SiteListGetFile.ashx?mid=133&id=2393&chk=40D4E8C6-AE04-4F60-B40E-4195BC632CB9	
MOHWP0045.01	食品中殘留農藥檢驗方法－殺菌劑克熱淨之檢驗	2013-09-06	http://www.fda.gov.tw/tc/includes/SiteListGetFile.ashx?mid=133&id=2397&chk=D62F30D8-DB74-42EC-B2A9-8F9786788068	
MOHWP0046.01	食品中殘留農藥檢驗方法－水果多重殘留分析(二)	2013-09-06	http://www.fda.gov.tw/tc/includes/SiteListGetFile.ashx?mid=133&id=2401&chk=69A3CD4F-21A5-4A21-8B49-167442B6DC9F	
MOHWP0047.01	食品中殘留農藥檢驗方法－禽畜產品中有機磷劑之檢驗	2013-09-06	http://www.fda.gov.tw/tc/includes/SiteListGetFile.ashx?mid=133&id=2405&chk=795F4B14-7AB7-440D-ACB8-698486255C9A	
MOHWP0048.01	食品中殘留農藥檢驗方法－生長調節劑益收生長素之檢驗	2013-09-06	http://www.fda.gov.tw/tc/includes/SiteListGetFile.ashx?mid=133&id=2407&chk=DFA22F7C-3155-49D1-9EFB-2BF120D5A6A4	
MOHWP0049.01	食品中殘留農藥檢驗方法－殺蟲劑得拉松之檢驗	2013-09-06	http://www.fda.gov.tw/tc/includes/SiteListGetFile.ashx?mid=133&id=2408&chk=F545AEB3-C87C-45C1-9C25-1F9EE0FE64B6	
MOHWP0050.02	食品中殘留農藥檢驗方法－多重殘留分析之檢驗	2013-09-06	http://www.fda.gov.tw/tc/includes/SiteListGetFile.ashx?mid=133&id=2409&chk=38EEEEB1-18C2-49B1-9202-FE5FFB7C60FB	
MOHWP0052.01	食品中殘留農藥檢驗方法－殺草劑亞速爛之檢驗	2013-09-06	http://www.fda.gov.tw/tc/includes/SiteListGetFile.ashx?mid=133&id=2412&chk=99DA5048-66A7-4E65-9256-D7FEFFF26FE2	
MOHWP0053.01	食品中殘留農藥檢驗方法－抑芽劑克普芬之檢驗	2013-09-06	http://www.fda.gov.tw/tc/includes/SiteListGetFile.ashx?mid=133&id=2414&chk=6AD86903-10CD-4DBC-A41C-522B96FA0E64	
MOHWP0054.03	食品中殘留農藥檢驗方法－殺菌劑二硫代胺基甲酸鹽類之檢驗(二)	2013-09-06	http://www.fda.gov.tw/tc/includes/SiteListGetFile.ashx?mid=133&id=6892&chk=5616A6F6-7407-46D8-A9F1-F0CD35BB33BD	
MOHWP0055.02	食品中殘留農藥檢驗方法－多重殘留分析方法(五)(310品項)	2014-07-03	http://www.fda.gov.tw/TC/siteListContent.aspx?sid=103&id=9373&chk=2FAF4396-EBC0-4E76-91DB-90C2D6A92969	
MOHWP0056.00	禽畜產品中殘留農藥檢驗方法－多重殘留分析方法	2016-11-08	http://www.fda.gov.tw:8080/TC/siteListContent.aspx?sid=103&id=22000	
MOHWV0001.00	食品中動物用藥殘留量檢驗方法－Avermectin類抗生素之檢驗	2013-08-14	http://www.fda.gov.tw/tc/includes/SiteListGetFile.ashx?mid=133&id=8082&chk=DC6754DD-1F00-432B-A159-A7CC4CEC6ECD	
MOHWV0002.01	食品中動物用藥殘留量檢驗方法－卡巴得及其代謝物之檢驗	2013-09-06	http://www.fda.gov.tw/tc/includes/SiteListGetFile.ashx?mid=133&id=1729&chk=5AE29EAB-A4FE-4745-BECA-A2F847DAF26A	
MOHWV0003.01	食品中動物用藥殘留量檢驗方法－孔雀綠及其代謝物之檢驗	2013-09-06	http://www.fda.gov.tw/tc/includes/SiteListGetFile.ashx?mid=133&id=1762&chk=AFA3ECFC-F30C-4C61-A8CF-888A1F16C6AD	
MOHWV0004.01	食品中動物用藥殘留量檢驗方法－安巴素之檢驗	2013-09-06	http://www.fda.gov.tw/tc/includes/SiteListGetFile.ashx?mid=133&id=1766&chk=C3542D5D-089E-49EA-9CAA-6EC6BC09B3F3	
MOHWV0005.01	食品中動物用藥殘留量檢驗方法－泰妙素之檢驗	2013-09-06	http://www.fda.gov.tw/tc/includes/SiteListGetFile.ashx?mid=133&id=1817&chk=D2423C98-DB20-424D-933E-DBC950A64856	
MOHWV0006.01	食品中動物用藥殘留量檢驗方法－史黴素及其代謝物之檢驗	2013-09-06	http://www.fda.gov.tw/tc/includes/SiteListGetFile.ashx?mid=133&id=1819&chk=63283B1A-F0C2-4F2E-B86D-3940D445AB7B	
MOHWV0007.01	食品中動物用藥殘留量檢驗方法－Benzimidazole類多重殘留分析(二)	2013-09-06	http://www.fda.gov.tw/tc/includes/SiteListGetFile.ashx?mid=133&id=1820&chk=5A3C3C89-7850-4B8C-8F49-23DA34855B3F	
MOHWV0008.01	食品中動物用藥殘留量檢驗方法－Benzimidazole類多重殘留分析	2013-09-06	http://www.fda.gov.tw/tc/includes/SiteListGetFile.ashx?mid=133&id=1824&chk=0BDB9678-10FF-41DA-855B-C47C6B81DD40	
MOHWV0009.01	食品中動物用藥殘留檢驗方法－枯草菌素之檢驗	2013-09-06	http://www.fda.gov.tw/tc/includes/SiteListGetFile.ashx?mid=133&id=1825&chk=4BBD19B4-8BF9-48E8-975F-DF434F0EE091	
MOHWV0010.01	食品中動物用藥殘留量檢驗方法－Trenbolone acetate及其代謝物之檢驗	2013-09-06	http://www.fda.gov.tw/tc/includes/SiteListGetFile.ashx?mid=133&id=1828&chk=B88EA6FB-22D4-466D-A041-C8BBA7B88FC2	
MOHWV0011.01	食品中動物用藥殘留量檢驗方法－賽滅淨之檢驗	2013-09-06	http://www.fda.gov.tw/tc/includes/SiteListGetFile.ashx?mid=133&id=1835&chk=54897F7E-954F-404B-8CF0-7D6C3357C8BB	
MOHWV0013.01	食品中動物用藥殘留檢驗方法－抗生素類別之檢驗	2013-09-06	http://www.fda.gov.tw/tc/includes/SiteListGetFile.ashx?mid=133&id=1839&chk=02CEDF38-5013-4F0B-953B-756E1D222CFC	
MOHWV0014.01	食品中動物用藥殘留檢驗方法－抗生物質之檢驗	2013-09-06	http://www.fda.gov.tw/tc/includes/SiteListGetFile.ashx?mid=133&id=1840&chk=1EB37EE2-D0ED-40F2-B2CD-C3AFBEAB86ED	
MOHWV0018.01	食品中動物用藥殘留檢驗方法－青黴素之檢驗	2013-09-06	http://www.fda.gov.tw/tc/includes/SiteListGetFile.ashx?mid=133&id=1845&chk=BEEB59AC-325C-4DC1-AD28-E69E71D9FD94	
MOHWV0020.01	食品中動物用藥殘留量檢驗方法－己烯雌酚及Hexestrol之檢驗	2013-09-06	http://www.fda.gov.tw/tc/includes/SiteListGetFile.ashx?mid=133&id=1847&chk=62CA3743-1B75-48C4-AFF7-1FFE0A6538E2	
MOHWV0021.01	食品中動物用藥殘留量檢驗方法－乃託文之檢驗	2013-09-06	http://www.fda.gov.tw/tc/includes/SiteListGetFile.ashx?mid=133&id=1850&chk=C68DE1A2-79D7-476A-BAB4-A9D1AE18D6E2	
MOHWV0022.01	食品中動物用藥殘留量檢驗方法－害獲滅之檢驗	2013-09-06	http://www.fda.gov.tw/tc/includes/SiteListGetFile.ashx?mid=133&id=1852&chk=35D1CF72-1E55-48DF-AD66-867E96A6260C	
MOHWV0023.01	食品中動物用藥殘留量檢驗方法－黃體荷爾蒙助孕酮、17α-羥基助孕酮、4-雄烯-3,17-二酮及睪固酮之檢驗	2013-09-06	http://www.fda.gov.tw/tc/includes/SiteListGetFile.ashx?mid=133&id=1853&chk=248B6CC2-9CA3-4A7B-8FC1-7A9F5DA0D7BD	
MOHWV0024.01	食品中動物用藥殘留量檢驗方法－Zeranol、17a-雌素二醇及17b-雌素二醇之檢驗	2013-09-06	http://www.fda.gov.tw/tc/includes/SiteListGetFile.ashx?mid=133&id=1854&chk=7B6BAFDE-92D3-4083-9C47-BCE6485A5694	
MOHWV0027.01	食品中動物用藥殘留量檢驗方法－歐來金得之檢驗	2013-09-06	http://www.fda.gov.tw/tc/includes/SiteListGetFile.ashx?mid=133&id=1860&chk=E26E716E-6118-4A6F-BBF1-D7F3DBC177D0	
MOHWV0028.01	食品中動物用藥殘留量之檢驗方法－滴克奎諾之檢驗	2013-09-06	http://www.fda.gov.tw/tc/includes/SiteListGetFile.ashx?mid=133&id=1864&chk=63DE009A-34B9-4313-9632-17D625BB18E3	
MOHWV0029.01	食品中動物用藥殘留量檢驗方法－氟苯並嘧唑氨基甲酸之檢驗	2013-09-06	http://www.fda.gov.tw/tc/includes/SiteListGetFile.ashx?mid=133&id=1866&chk=25772B62-39CE-4A2B-8566-FF34E3FABD0D	
MOHWV0030.01	食品中動物用藥殘留量檢驗方法－Triclabendazole及其代謝物之檢驗	2013-09-06	http://www.fda.gov.tw/tc/includes/SiteListGetFile.ashx?mid=133&id=1975&chk=5D99A94C-E336-4CF5-97D5-5D365E857663	
MOHWV0031.01	食品中動物用藥殘留量檢驗方法－左美素之檢驗	2013-09-06	http://www.fda.gov.tw/tc/includes/SiteListGetFile.ashx?mid=133&id=1976&chk=67CB6D1F-67AD-4674-82EC-66368DBBD1FE	
MOHWV0032.01	食品中動物用藥殘留量檢驗方法－抗原蟲劑多重殘留分析	2013-09-06	http://www.fda.gov.tw/tc/includes/SiteListGetFile.ashx?mid=133&id=1977&chk=C6B76564-1214-48A8-BFFD-8A16EC5636FD	
MOHWV0033.01	食品中動物用藥殘留量檢驗方法－仙杜拉素之檢驗	2013-09-06	http://www.fda.gov.tw/tc/includes/SiteListGetFile.ashx?mid=133&id=1978&chk=38859C0F-11BF-4242-9176-36F8A3C0B0E5	
MOHWV0034.01	食品中動物用藥殘留量檢驗方法－抗生素及其代謝物多重殘留分析	2013-09-06	http://www.fda.gov.tw/tc/includes/SiteListGetFile.ashx?mid=133&id=5485&chk=2A968F1D-A7DA-41C3-A4D7-51FA603D02F6	
MOHWV0035.01	食品中動物用藥殘留量檢驗方法－畜福之檢驗	2013-09-06	http://www.fda.gov.tw/tc/includes/SiteListGetFile.ashx?mid=133&id=6198&chk=0CC39DC7-06C1-4922-B615-AB64F8224510	
