"ID","AVAILABLECAR"
"060040","-9"
"060043","-9"
"060047","-9"
"060048","17"
"060049","-9"
"060050","99"
"060052","-9"
"060053","-9"
"060054","-9"
"060055","-9"
"060056","-9"
"060057","-9"
"060058","-9"
"060060","-9"
"060061","-9"
"060062","-9"
"060063","-9"
"060065","-9"
"060067","-9"
"060068","-9"
"060069","-9"
"060070","-9"
"060071","-9"
"060072","-9"
"060073","-9"
"060075","-9"
"060076","-9"
"060077","-9"
"060078","31"
"060080","-9"
"060081","-9"
"060082","2007"
"060083","-9"
"060084","-9"
"060085","-9"
"060086","19"
"060087","4"
"060088","11"
"060089","-9"
"060091","-9"
"060092","-9"
"060093","-9"
"070001","4"
"070003","32"
"070004","10"
"070006","8"
"070008","-9"
"070010","-9"
"070011","-9"
"070012","12"
"070012","12"
"070013","5"
"070015","9"
"070016","-9"
"070017","-9"
"070027","-9"
"070028","-9"
"070029","-9"
"070033","-9"
"070034","-9"
"070035","-9"
"070036","-9"
"070037","-9"
"070038","0"
"070039","-9"
"070040","-9"
"080001","39"
"080007","-9"
"080008","64"
"080011","-9"
"080023","-9"
"080025","85"
"080026","-9"
"080027","-9"
"080028","-9"
"080029","-9"
"080030","-9"
"090001","-9"
"090003","70"
"090007","-9"
"090008","21"
"090009","20"
"090012","571"
"090013","-9"
"090016","38"
"090017","23"
"090019","41"
"090021","-9"
"090022","-9"
"090025","0"
"090029","999"
"090029","999"
"090030","-9"
"090031","-9"
"090032","-9"
"090033","-9"
"090034","-9"
"090035","-9"
"090036","-9"
"090037","-9"
"090038","-9"
"100002","95"
"100003","-9"
"100004","78"
"100006","-9"
"100008","45"
"100009","-9"
"100010","26"
"100013","-9"
"100014","-9"
"100015","-9"
"100016","-9"
"100017","-9"
"100018","-9"
"100021","-9"
"100022","-9"
"100025","-9"
"100026","-9"
"100030","-9"
"100031","-9"
"100032","256"
"100033","-9"
"100034","-9"
"100035","-9"
"100037","-9"
"100039","-9"
"100040","-9"
"100041","-9"
"100042","-9"
"100043","-9"
"100044","-9"
"110001","108"
