"RouteID","StationId","EstimateTime","Memo"
"113","4082","37",""
"113","4083","38",""
"113","4084","39",""
"113","4085","42",""
"113","4086","43",""
"113","4087","44",""
"113","4088","45",""
"113","4089","47",""
"113","4090","49",""
"113","4091","50",""
"113","4092","53",""
"113","4093","54",""
"113","4094","54",""
"113","4095","55",""
"113","4096","57",""
"113","4097","60",""
"113","4098","60",""
"113","4099","62",""
"113","4100","64",""
"113","4101","64",""
"113","4102","65",""
"113","4103","67",""
"113","4104","67",""
"113","38998","68",""
"113","4106","70",""
"113","4107","71",""
"113","4108","72",""
"113","4109","74",""
"113","4110","75",""
"113","4111","76",""
"113","4112","76",""
"113","4113","77",""
"113","4114","78",""
"113","4115","79",""
"113","4116","79",""
"113","4117","81",""
"113","4118","81",""
"113","4119","83",""
"113","4120","84",""
"113","4121","84",""
"113","4122","86",""
"113","4124","87",""
"113","4125","88",""
"113","4126","89",""
"113","4127","91",""
"113","4128","92",""
"113","4129","94",""
"113","4130","96",""
"113","4131","97",""
"113","4132","97",""
"113","4133","98",""
"113","4134","98",""
"113","4135","101",""
"113","4002","46",""
"113","4003","48",""
"113","4004","49",""
"113","4005","50",""
"113","4006","51",""
"113","4007","53",""
"113","4008","53",""
"113","4009","55",""
"113","4010","56",""
"113","4011","57",""
"113","4012","57",""
"113","4013","57",""
"113","4014","58",""
"113","4015","58",""
"113","4016","59",""
"113","4017","59",""
"113","4018","60",""
"113","4019","61",""
"113","4020","62",""
"113","4021","62",""
"113","4022","63",""
"113","4023","64",""
"113","4024","65",""
"113","4025","66",""
"113","4026","67",""
"113","4027","67",""
"113","4028","68",""
"113","4029","69",""
"113","4030","71",""
"113","4031","73",""
"113","38997","74",""
"113","4032","75",""
"113","4033","75",""
"113","4034","76",""
"113","4035","77",""
"113","4036","2",""
"113","4037","3",""
"113","4038","5",""
"113","4039","6",""
"113","4040","7",""
"113","4041","9",""
"113","4042","10",""
"113","4043","11",""
"113","4044","12",""
"113","4045","13",""
"113","4046","14",""
"113","4047","17",""
"113","39650","17",""
"113","4048","18",""
"113","4049","20",""
"113","4050","22",""
"113","4051","24",""
"113","4052","25",""
"113","4053","26",""
"113","4054","29",""
