SiteName,County,PSI,MajorPollutant,Status,SO2,CO,O3,PM10,PM2.5,NO2,WindSpeed,WindDirec,FPMI,NOx,NO,PublishTime
二林,彰化縣,43,,良好,1.1,0.17,51,45,11,5,6.4,38,1,5.71,.7,2017-04-22 05:00
三重,新北市,36,,良好,0.9,0.64,,40,5,27,,,1,39.93,13.43,2017-04-22 05:00
三義,苗栗縣,47,,良好,1.3,0.13,56,11,6,3.7,7,40,1,4.23,.52,2017-04-22 05:00
土城,新北市,46,,良好,2.3,0.24,55,15,8,8,1,212,1,9.19,1.24,2017-04-22 05:00
士林,臺北市,45,,良好,1.2,0.22,54,17,5,7.1,1,254,1,8.36,1.27,2017-04-22 05:00
大同,臺北市,37,,良好,1.7,0.56,,34,10,20,,,1,24.92,4.6,2017-04-22 05:00
大里,臺中市,35,,良好,1.6,0.18,42,7,6,7.5,2.9,56,,8.7,1.17,2017-04-22 05:00
大園,桃園市,58,臭氧,普通,1.5,0.17,70,29,16,3.7,9.6,25,2,4.9,1.25,2017-04-22 05:00
大寮,高雄市,0,,,0.5,0.1,20,,8,4.7,0.6,171,1,6.26,1.59,2017-04-22 05:00
小港,高雄市,22,,良好,4.2,0.15,20,28,14,11,1.2,349,1,11.12,-.33,2017-04-22 05:00
中山,臺北市,50,,良好,0.7,0.27,60,18,9,7.5,1,328,1,7.5,-.01,2017-04-22 05:00
中壢,桃園市,48,,良好,1.7,0.25,58,26,11,10,1.7,63,1,10.15,.19,2017-04-22 05:00
仁武,高雄市,29,,良好,1.3,0.13,26,31,5,5.7,1.1,163,1,6.25,.57,2017-04-22 05:00
斗六,雲林縣,36,,良好,0.6,0.24,43,20,8,6.5,1.4,42,2,7.76,1.31,2017-04-22 05:00
冬山,宜蘭縣,50,,良好,3.3,0.14,61,30,6,6.9,1.9,230,1,7.7,.84,2017-04-22 05:00
古亭,臺北市,47,,良好,1.3,0.22,57,12,13,7.5,0.7,169,2,7.62,.09,2017-04-22 05:00
左營,高雄市,22,,良好,1.3,0.14,23,13,,7.6,1.6,164,1,7.46,-.14,2017-04-22 05:00
平鎮,桃園市,49,,良好,2.1,0.24,59,34,14,8.5,3.3,58,1,10.31,1.85,2017-04-22 05:00
永和,新北市,44,,良好,1.4,0.32,53,28,10,10,1.1,199,1,12.88,2.76,2017-04-22 05:00
安南,臺南市,30,,良好,1.6,0.14,21,26,10,5.1,1.7,11,2,6.71,1.65,2017-04-22 05:00
朴子,嘉義縣,34,,良好,5,0.38,35,31,11,17,3.1,96,1,18.8,1.55,2017-04-22 05:00
汐止,新北市,47,,良好,1.2,0.26,56,31,16,6.4,1.1,196,2,7.67,1.29,2017-04-22 05:00
竹山,南投縣,28,,良好,1.2,0.34,34,32,18,8.8,1.6,31,2,10.3,1.55,2017-04-22 05:00
竹東,新竹縣,46,,良好,1.2,0.23,55,26,8,3,3.6,51,1,3.43,.49,2017-04-22 05:00
西屯,臺中市,47,,良好,1,0.11,57,17,10,4.2,6.2,55,1,6.35,2.12,2017-04-22 05:00
沙鹿,臺中市,47,,良好,0.8,0.14,56,13,9,5.7,5.6,50,1,6.51,.86,2017-04-22 05:00
宜蘭,宜蘭縣,54,臭氧,普通,1.2,0.23,65,19,11,1.8,1.4,22,1,2.08,.3,2017-04-22 05:00
忠明,臺中市,41,,良好,2,0.15,50,20,5,5.9,3.2,39,1,7.09,1.18,2017-04-22 05:00
松山,臺北市,53,臭氧,普通,0.6,0.24,64,25,14,3.9,0.8,84,2,4.4,.55,2017-04-22 05:00
板橋,新北市,46,,良好,1.5,0.23,55,19,8,8,1.8,227,1,9.59,1.63,2017-04-22 05:00
林口,新北市,52,臭氧,普通,0.6,0.2,63,49,18,2.5,3.5,52,1,3.22,.68,2017-04-22 05:00
林園,高雄市,19,,良好,1.5,0.06,23,17,13,4.9,1.7,140,1,5.64,.79,2017-04-22 05:00
花蓮,花蓮縣,55,臭氧,普通,1.3,0.13,67,21,12,0.7,4.2,61,1,1.84,1.14,2017-04-22 05:00
金門,金門縣,48,,良好,2.5,0.21,57,40,16,4.1,2.7,67,2,5.17,1.06,2017-04-22 05:00
前金,高雄市,22,,良好,1.7,0.19,27,14,1,7.6,1.2,168,1,7.61,.06,2017-04-22 05:00
前鎮,高雄市,22,,良好,1.4,0.17,26,16,7,6.6,0.6,127,1,7.19,.64,2017-04-22 05:00
南投,南投縣,34,,良好,1.8,0.23,41,25,13,6.6,1.5,54,2,8.05,1.45,2017-04-22 05:00
屏東,屏東縣,25,,良好,1.3,0.13,24,27,6,6,0.7,178,1,6.97,1.03,2017-04-22 05:00
恆春,屏東縣,47,,良好,0.8,0.28,57,21,6,2.7,5.5,32,1,3.51,.78,2017-04-22 05:00
美濃,高雄市,17,,良好,0.8,0.1,17,12,11,2.8,0.5,29,2,3.28,.53,2017-04-22 05:00
苗栗,苗栗縣,47,,良好,1.7,0.18,57,26,14,5.6,3.7,49,2,6.47,.93,2017-04-22 05:00
埔里,南投縣,39,,良好,1.2,0.15,23,115,9,3.7,0.8,254,1,4.38,.64,2017-04-22 05:00
