SiteName,County,PSI,MajorPollutant,Status,SO2,CO,O3,PM10,PM2.5,NO2,WindSpeed,WindDirec,FPMI,NOx,NO,PublishTime
二林,彰化縣,42,,良好,1.8,0.32,51,16,6,6.3,7.1,40,1,7.12,.78,2017-03-26 08:00
三重,新北市,47,,良好,4.8,1.73,,80,28,52,,,2,148.45,96.5,2017-03-26 08:00
三義,苗栗縣,42,,良好,1.2,0.34,50,21,12,4.2,4.6,33,1,4.93,.7,2017-03-26 08:00
土城,新北市,39,,良好,2.1,0.45,47,60,32,11,1.5,130,2,12.28,1.19,2017-03-26 08:00
士林,臺北市,32,,良好,3,0.59,18,53,33,33,0.9,164,2,45.89,12.63,2017-03-26 08:00
大同,臺北市,56,懸浮微粒,普通,4.9,1.39,,86,32,48,,,2,109.28,61.02,2017-03-26 08:00
大里,臺中市,32,,良好,1.8,0.36,38,13,,12,2.1,56,1,13.56,1.09,2017-03-26 08:00
大園,桃園市,48,,良好,4.1,0.47,27,59,23,31,4.4,94,2,33.61,2.4,2017-03-26 08:00
大寮,高雄市,36,,良好,4.2,0.46,18,38,17,14,0.9,60,2,15.89,1.6,2017-03-26 08:00
小港,高雄市,43,,良好,3,0.52,19,36,15,22,1.4,13,2,24.36,2.33,2017-03-26 08:00
中山,臺北市,41,,良好,3.6,0.66,27,67,24,28,2.3,171,2,31.82,4.26,2017-03-26 08:00
中壢,桃園市,44,,良好,4,0.99,25,65,21,36,1.3,281,2,57.16,21.14,2017-03-26 08:00
仁武,高雄市,37,,良好,2.7,0.53,20,41,8,19,2.9,320,1,20.81,1.79,2017-03-26 08:00
斗六,雲林縣,32,,良好,1.8,0.32,38,13,7,9.7,2,34,1,10.75,1.05,2017-03-26 08:00
冬山,宜蘭縣,34,,良好,1.7,0.45,41,51,19,18,2.1,288,2,24.8,7,2017-03-26 08:00
古亭,臺北市,33,,良好,1.9,0.65,27,50,40,30,1.2,138,3,37.6,7.31,2017-03-26 08:00
左營,高雄市,32,,良好,2.7,0.51,26,26,3,11,3,321,1,10.96,.18,2017-03-26 08:00
平鎮,桃園市,40,,良好,4.6,0.46,43,59,23,14,3.7,94,2,16.06,1.69,2017-03-26 08:00
永和,新北市,40,,良好,0.7,0.61,36,63,32,18,1.3,115,3,21.21,3.19,2017-03-26 08:00
安南,臺南市,30,,良好,1.5,0.33,37,28,9,8,3.6,308,1,9.15,1.17,2017-03-26 08:00
朴子,嘉義縣,40,,良好,2,0.3,48,14,11,6.5,2.8,92,1,6.97,.51,2017-03-26 08:00
汐止,新北市,41,,良好,7.1,0.59,23,65,33,26,0.8,356,3,28.48,2.64,2017-03-26 08:00
竹山,南投縣,26,,良好,1.2,0.32,31,20,11,9.7,1.8,318,2,9.95,.26,2017-03-26 08:00
竹東,新竹縣,38,,良好,2.9,0.37,45,75,25,7.7,2.5,63,2,9.28,1.57,2017-03-26 08:00
西屯,臺中市,41,,良好,1.1,0.29,49,15,12,8.9,3.9,63,1,9.78,.92,2017-03-26 08:00
沙鹿,臺中市,44,,良好,1.2,0.32,52,20,7,7.1,5.2,138,1,8.07,.95,2017-03-26 08:00
宜蘭,宜蘭縣,43,,良好,1.1,0.38,51,25,9,4.3,1.1,289,1,4.89,.64,2017-03-26 08:00
忠明,臺中市,0,,,1.4,0.35,46,10,10,8,3,34,1,9.38,1.39,2017-03-26 08:00
松山,臺北市,40,,良好,1.7,0.53,35,75,35,20,1.1,214,3,22.43,2.74,2017-03-26 08:00
板橋,新北市,46,,良好,2.9,0.55,35,62,24,20,1.5,133,2,21.05,1.27,2017-03-26 08:00
林口,新北市,49,,良好,3,0.43,43,75,31,12,1.7,103,2,15.18,2.72,2017-03-26 08:00
林園,高雄市,26,,良好,3,0.38,17,24,13,12,1.1,12,2,13.5,1.65,2017-03-26 08:00
花蓮,花蓮縣,41,,良好,0.9,0.4,49,16,8,9.9,2.7,64,1,11.6,1.69,2017-03-26 08:00
金門,金門縣,43,,良好,6.6,0.45,13,58,39,17,1.4,31,3,19.11,2.42,2017-03-26 08:00
前金,高雄市,40,,良好,1.9,0.53,27,40,3,13,3.1,8.5,2,13.13,.52,2017-03-26 08:00
前鎮,高雄市,40,,良好,2.7,0.57,21,29,26,21,1.4,77,2,21.98,1.27,2017-03-26 08:00
南投,南投縣,25,,良好,1,0.38,30,24,8,14,1.2,27,1,15.8,1.36,2017-03-26 08:00
屏東,屏東縣,43,,良好,1.5,0.5,21,39,24,12,1.1,18,2,13.52,1.33,2017-03-26 08:00
恆春,屏東縣,44,,良好,2,0.28,53,11,6,1.3,10,29,1,2.22,.92,2017-03-26 08:00
美濃,高雄市,38,,良好,1,0.48,17,45,27,12,1.1,284,3,12.85,1.18,2017-03-26 08:00
苗栗,苗栗縣,43,,良好,2.4,0.41,51,78,37,7.3,3.4,55,2,9.13,1.83,2017-03-26 08:00
埔里,南投縣,22,,良好,1.2,0.38,21,17,4,7.2,1,303,2,8.5,1.26,2017-03-26 08:00
桃園,桃園市,32,,良好,4.9,0.52,37,49,24,17,1.1,109,2,17.8,1.25,2017-03-26 08:00
馬公,澎湖縣,39,,良好,1.3,0.33,47,43,17,2.1,5.5,74,1,3.63,1.49,2017-03-26 08:00
馬祖,連江縣,33,,良好,2.3,0.38,35,38,15,8.4,1.9,46,2,9.88,1.51,2017-03-26 08:00
基隆,基隆市,50,,良好,1.8,0.45,53,84,42,5.8,1.1,100,3,6.28,.45,2017-03-26 08:00
崙背,雲林縣,40,,良好,1.6,0.4,48,12,13,8,5.3,69,1,7.87,-.08,2017-03-26 08:00
淡水,新北市,36,,良好,1.5,0.56,25,48,25,19,,,2,21.1,2.07,2017-03-26 08:00
麥寮,雲林縣,33,,良好,5.6,0.47,39,31,15,16,6.4,68,2,17.22,1.59,2017-03-26 08:00
善化,臺南市,24,,良好,0.8,0.32,29,8,,10,4.5,315,,11.37,.88,2017-03-26 08:00
復興,高雄市,35,,良好,3.5,0.84,17,31,15,23,1.1,122,2,32.73,9.24,2017-03-26 08:00
湖口,新竹縣,44,,良好,4.8,0.46,49,67,32,9.9,3.5,73,3,11.27,1.38,2017-03-26 08:00
菜寮,新北市,35,,良好,4,0.59,30,59,29,24,2.1,189,2,26.4,2.17,2017-03-26 08:00
陽明,臺北市,45,,良好,1.8,0.31,54,63,39,2.6,,,2,2.82,.23,2017-03-26 08:00
新竹,新竹市,39,,良好,2.6,0.37,47,60,18,10,3.6,82,2,10.93,.53,2017-03-26 08:00
新店,新北市,35,,良好,1.5,0.48,41,54,31,14,3,165,2,15.9,1.67,2017-03-26 08:00
新莊,新北市,34,,良好,4.3,0.55,32,54,22,22,1.3,189,2,25.1,3.58,2017-03-26 08:00
新港,嘉義縣,38,,良好,1,0.31,45,16,3,5.9,3.3,52,1,7.1,1.2,2017-03-26 08:00
新營,臺南市,31,,良好,1.2,0.32,37,19,10,8.8,2.7,40,1,9.75,.92,2017-03-26 08:00
楠梓,高雄市,40,,良好,1.7,0.44,24,32,26,11,2,299,2,12.42,.93,2017-03-26 08:00
萬里,新北市,70,懸浮微粒,普通,1.7,0.37,60,147,45,4.8,5.2,37,3,5.65,.9,2017-03-26 08:00
萬華,臺北市,34,,良好,1.9,0.49,31,56,30,24,1.2,171,2,25.62,1.35,2017-03-26 08:00
嘉義,嘉義市,28,,良好,0.7,0.41,34,23,10,-0.4,1.9,49,1,-.11,.33,2017-03-26 08:00
彰化,彰化縣,36,,良好,1.4,0.42,44,14,10,8.3,3.1,44,1,9.53,1.2,2017-03-26 08:00
臺西,雲林縣,41,,良好,3.6,0.38,49,25,17,9.3,8.2,35,1,9.87,.58,2017-03-26 08:00
臺東,臺東縣,28,,良好,0.9,0.43,34,10,6,4.5,1.9,297,1,6.14,1.64,2017-03-26 08:00
臺南,臺南市,28,,良好,0.9,0.39,34,23,18,10,3.2,48,1,12.26,2.17,2017-03-26 08:00
鳳山,高雄市,50,,良好,1.6,0.55,19,45,17,13,1.3,283,2,14.27,1.77,2017-03-26 08:00
潮州,屏東縣,54,懸浮微粒,普通,1.5,0.45,21,56,29,12,1.1,302,3,13.64,1.58,2017-03-26 08:00
線西,彰化縣,44,,良好,1.9,0.36,52,32,15,8.9,7.6,41,2,9.67,.8,2017-03-26 08:00
橋頭,高雄市,44,,良好,2.2,0.45,23,43,21,12,2.9,337,3,12.51,1.02,2017-03-26 08:00
頭份,苗栗縣,42,,良好,1.9,0.39,50,54,23,11,3.4,82,2,12.51,1.86,2017-03-26 08:00
龍潭,桃園市,40,,良好,3.7,0.45,44,63,29,13,3.8,66,2,14.32,1.65,2017-03-26 08:00
豐原,臺中市,38,,良好,1.7,0.31,45,14,,6.4,1.6,66,1,6,-.4,2017-03-26 08:00
關山,臺東縣,34,,良好,1.2,,41,10,3,4.8,1.7,55,1,5.32,.55,2017-03-26 08:00
觀音,桃園市,51,懸浮微粒,普通,2.7,0.42,43,61,26,12,3.9,86,2,12.79,1.06,2017-03-26 08:00
